thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.12916666666666668)],[np.float64(-0.3333333333333333)],[1],[0],[0],[1.5590392000012798],['Target'],0,0,0,0,0.06745819999923697,,10,0.04269949999434175,0.06745819999923697,0.06745819999923697,0.04272560000390513,1.6018851999979233,[np.float64(-0.12916666666666668)],[np.float64(-0.3333333333333333)],[1],[0],[0],[1.5590392000012798],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
1,0,1,[np.float64(-0.32222222222222224)],[np.float64(-0.32916666666666666)],[1],[0],[0],[1.7478073999955086],['Target'],1,0,1,0,1.6326618999955826,,10,1.6206265000000712,1.6326618999955826,1.6326618999955826,0.018631699997058604,3.3685779000006733,[np.float64(-0.32222222222222224)],[np.float64(-0.32916666666666666)],[1],[0],[0],[1.7478073999955086],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
2,0,2,[np.float64(-0.2763888888888889)],[np.float64(-0.05138888888888889)],[1],[0],[0],[1.073015599999053],['Target'],2,0,2,0,3.3994440999958897,,5,3.377862699999241,3.3994440999958897,3.3994440999958897,0.009168700002192054,4.451015699996788,[np.float64(-0.2763888888888889)],[np.float64(-0.05138888888888889)],[1],[0],[0],[1.073015599999053],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
3,0,3,[np.float64(-0.3611111111111111)],[np.float64(-0.4777777777777778)],[1],[0],[0],[3.514597000001231],['Target'],3,0,3,0,4.482684199996584,,10,4.469206899993878,4.482684199996584,4.482684199996584,0.018108800002664793,7.98395729999902,[np.float64(-0.3611111111111111)],[np.float64(-0.4777777777777778)],[1],[0],[0],[3.514597000001231],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
4,0,4,[np.float64(0.4375)],[np.float64(0.30972222222222223)],[1],[0],[0],[1.634734600003867],['Target'],4,0,4,0,8.017247399999178,,5,7.9986392999999225,8.017247399999178,8.017247399999178,0.014592899999115616,9.63355519999459,[np.float64(0.4375)],[np.float64(0.30972222222222223)],[1],[0],[0],[1.634734600003867],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
5,0,5,[np.float64(0.2777777777777778)],[np.float64(0.38055555555555554)],[1],[0],[0],[1.499362700000347],['Target'],5,0,5,0,9.665081299994199,,10,9.650748000000021,9.665081299994199,9.665081299994199,0.017100000004575122,11.150241399998777,[np.float64(0.2777777777777778)],[np.float64(0.38055555555555554)],[1],[0],[0],[1.499362700000347],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
6,0,6,[np.float64(-0.2833333333333333)],[np.float64(0.3402777777777778)],[1],[0],[0],[2.508169299995643],['Target'],6,0,6,0,11.18098579999787,,5,11.159324399995967,11.18098579999787,11.18098579999787,0.008987899993371684,13.66765889999806,[np.float64(-0.2833333333333333)],[np.float64(0.3402777777777778)],[1],[0],[0],[2.508169299995643],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
7,0,7,[np.float64(-0.35555555555555557)],[np.float64(0.18472222222222223)],[1],[0],[0],[1.277704400003131],['Target'],7,0,7,0,13.715513099996315,,10,13.689272699994035,13.715513099996315,13.715513099996315,0.021510899998247623,14.967130999997607,[np.float64(-0.35555555555555557)],[np.float64(0.18472222222222223)],[1],[0],[0],[1.277704400003131],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
8,0,8,[np.float64(-0.1875)],[np.float64(0.1638888888888889)],[1],[0],[0],[0.9891786999942269],['Target'],8,0,8,0,14.997774999996182,,5,14.979358500000671,14.997774999996182,14.997774999996182,0.012113999997382052,15.968779899994843,[np.float64(-0.1875)],[np.float64(0.1638888888888889)],[1],[0],[0],[0.9891786999942269],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
9,0,9,[np.float64(0.47638888888888886)],[np.float64(0.10277777777777777)],[1],[0],[0],[1.4084202000012738],['Target'],9,0,9,0,16.01443709999876,,10,15.991589400000521,16.01443709999876,16.01443709999876,0.022633099993981887,17.400147699998342,[np.float64(0.47638888888888886)],[np.float64(0.10277777777777777)],[1],[0],[0],[1.4084202000012738],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
