thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.4027777777777778)],[np.float64(0.2986111111111111)],[1],[0],[0],[1.4212387000006856],['Target'],0,0,0,0,0.043987299999571405,,5,0.023836399996071123,0.043987299999571405,0.043987299999571405,0.023862200003350154,1.4452167999988887,[np.float64(0.4027777777777778)],[np.float64(0.2986111111111111)],[1],[0],[0],[1.4212387000006856],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
1,0,1,[np.float64(-0.36527777777777776)],[np.float64(-0.2847222222222222)],[1],[0],[0],[1.3572868000046583],['Target'],1,0,1,0,1.475898299991968,,5,1.4547545999957947,1.475898299991968,1.475898299991968,0.009430000005522743,2.8121761999937007,[np.float64(-0.36527777777777776)],[np.float64(-0.2847222222222222)],[1],[0],[0],[1.3572868000046583],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
2,0,2,[np.float64(-0.18472222222222223)],[np.float64(0.3611111111111111)],[1],[0],[0],[1.8413374999945518],['Target'],2,0,2,0,2.842395100000431,,5,2.820628500005114,2.842395100000431,2.842395100000431,0.008364099994651042,4.662097699998412,[np.float64(-0.18472222222222223)],[np.float64(0.3611111111111111)],[1],[0],[0],[1.8413374999945518],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
3,0,3,[np.float64(-0.058333333333333334)],[np.float64(0.45555555555555555)],[1],[0],[0],[2.454475500009721],['Target'],3,0,3,0,4.691892899994855,,5,4.672260899998946,4.691892899994855,4.691892899994855,0.01008390000788495,7.126902399992105,[np.float64(-0.058333333333333334)],[np.float64(0.45555555555555555)],[1],[0],[0],[2.454475500009721],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
4,0,4,[np.float64(0.043055555555555555)],[np.float64(0.1625)],[1],[0],[0],[1.23100900001009],['Target'],4,0,4,0,7.1583991999941645,,10,7.145990000004531,7.1583991999941645,7.1583991999941645,0.01899359999515582,8.37714280000364,[np.float64(0.043055555555555555)],[np.float64(0.1625)],[1],[0],[0],[1.23100900001009],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
5,0,5,[np.float64(0.2986111111111111)],[np.float64(-0.46805555555555556)],[1],[0],[0],[3.012820300005842],['Target'],5,0,5,0,8.408126399997855,,10,8.397092799990787,8.408126399997855,8.408126399997855,0.01985130000684876,11.410064199997578,[np.float64(0.2986111111111111)],[np.float64(-0.46805555555555556)],[1],[0],[0],[3.012820300005842],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
6,0,6,[np.float64(0.24861111111111112)],[np.float64(0.041666666666666664)],[1],[0],[0],[1.489453300004243],['Target'],6,0,6,0,11.491456399991876,,5,11.420257399993716,11.491456399991876,11.491456399991876,0.010086900001624599,12.909840099993744,[np.float64(0.24861111111111112)],[np.float64(0.041666666666666664)],[1],[0],[0],[1.489453300004243],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
7,0,7,[np.float64(-0.32222222222222224)],[np.float64(-0.22916666666666666)],[1],[0],[0],[1.8084355000028154],['Target'],7,0,7,0,12.941989400002058,,5,12.918298899996444,12.941989400002058,12.941989400002058,0.008378999991691671,14.726866900004097,[np.float64(-0.32222222222222224)],[np.float64(-0.22916666666666666)],[1],[0],[0],[1.8084355000028154],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
8,0,8,[np.float64(0.16805555555555557)],[np.float64(-0.16944444444444445)],[1],[0],[0],[1.6166459000087343],['Target'],8,0,8,0,14.758815099994536,,10,14.74498190000304,14.758815099994536,14.758815099994536,0.018019700000877492,16.361760700005107,[np.float64(0.16805555555555557)],[np.float64(-0.16944444444444445)],[1],[0],[0],[1.6166459000087343],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
9,0,9,[np.float64(-0.4)],[np.float64(-0.0625)],[1],[0],[0],[1.473344600002747],['Target'],9,0,9,0,16.391830099993967,,5,16.370327500000712,16.391830099993967,16.391830099993967,0.008465000006253831,17.843803800002206,[np.float64(-0.4)],[np.float64(-0.0625)],[1],[0],[0],[1.473344600002747],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
10,0,10,[np.float64(0.2388888888888889)],[np.float64(-0.21666666666666667)],[1],[0],[0],[1.3147632000036538],['Target'],10,0,10,0,17.876183400003356,,10,17.861401100002695,17.876183400003356,17.876183400003356,0.017500700007076375,19.176355999996304,[np.float64(0.2388888888888889)],[np.float64(-0.21666666666666667)],[1],[0],[0],[1.3147632000036538],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
11,0,11,[np.float64(-0.044444444444444446)],[np.float64(-0.42777777777777776)],[1],[0],[0],[2.1235184999968624],['Target'],11,0,11,0,19.207439899997553,,5,19.18567130000156,19.207439899997553,19.207439899997553,0.009009899993543513,21.30932169999869,[np.float64(-0.044444444444444446)],[np.float64(-0.42777777777777776)],[1],[0],[0],[2.1235184999968624],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
