reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
18,32,9,0,0,0,t,4.446055700012948,None,0,0,0,8,0.3105699000007007,,0.2947109999950044,0.3105699000007007,1.0105919000052381,1.0105919000052381,1.310873599984916,5.605154899996705,t,4.446055700012948,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
62,86,90,1,1,0,l,0.07069629998295568,None,0,1,1,25,5.626903500000481,,5.613615799986292,5.626903500000481,6.609960100002354,6.609960100002354,6.62746600000537,6.6946484000072815,l,0.07069629998295568,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
54,110,25,2,2,0,l,0.12862040000618435,None,0,2,2,67,6.709779199998593,,6.702790399984224,6.709779199998593,7.710043500002939,7.710043500002939,7.710043500002939,7.8438862999901175,l,0.12862040000618435,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
62,130,29,3,3,0,l,0.18204980000155047,None,0,3,3,71,7.860229599988088,,7.847990799986292,7.860229599988088,8.843501299998024,8.843501299998024,8.86026519999723,9.027321900008246,l,0.18204980000155047,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
11,30,7,4,4,0,t,0.12998920000973158,None,0,4,4,0,9.043307499989169,,9.033442799991462,9.043307499989169,10.027106299996376,10.027106299996376,10.044565199990757,10.162031499989098,t,0.12998920000973158,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
98,155,180,5,5,0,l,0.028758500004187226,None,0,5,5,43,10.17799450000166,,10.166993799997726,10.17799450000166,11.176587399997516,11.176587399997516,11.19295389999752,11.210105899983319,l,0.028758500004187226,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
78,105,130,6,6,0,l,0.15585829998599365,None,0,6,6,33,11.226238600007491,,11.212840399995912,11.226238600007491,12.209321500005899,12.209321500005899,12.226145099994028,12.376725999987684,l,0.15585829998599365,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
92,140,165,7,7,0,t,0.08500240001012571,None,0,7,7,40,12.394021699990844,,12.37998189998325,12.394021699990844,13.375963400001638,13.375963400001638,13.40925860000425,13.476694399985718,t,0.08500240001012571,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
100,225,48,8,8,0,t,0.02316939999582246,None,0,8,8,90,13.492787399998633,,13.47981129999971,13.492787399998633,14.477860099985264,14.477860099985264,14.494461399997817,14.51107479998609,t,0.02316939999582246,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
80,110,135,9,9,0,l,0.08829720001085661,None,0,9,9,34,14.526075000001583,,14.514634499995736,14.526075000001583,15.509565899992594,15.509565899992594,15.525900499982527,15.609723700006725,l,0.08829720001085661,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
94,210,45,10,10,0,l,0.15353670000331476,None,0,10,10,87,15.62637949999771,,15.61272820000886,15.62637949999771,16.609119600005215,16.609119600005215,16.625869099982083,16.776003300008597,l,0.15353670000331476,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
66,90,100,11,11,0,l,0.1944118000101298,None,0,11,11,27,16.79213479999453,,16.779207699990366,16.79213479999453,17.77575249999063,17.77575249999063,17.792590400000336,17.976210799999535,l,0.1944118000101298,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
12,24,4,12,12,0,l,0.04088980000233278,None,0,12,12,46,17.99222389998613,,17.978923599992413,17.99222389998613,18.975603200000478,18.975603200000478,18.992436100001214,19.027050300006522,l,0.04088980000233278,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
47,74,60,13,13,0,l,0.17505789999268018,None,0,13,13,19,19.042473899986362,,19.03194899999653,19.042473899986362,20.04197269998258,20.04197269998258,20.04197269998258,20.22595469999942,l,0.17505789999268018,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
86,190,41,14,14,0,l,0.0014312000130303204,None,0,14,14,83,20.242581600003177,,20.2283652999904,20.242581600003177,21.225239199993666,21.225239199993666,21.242060499993386,21.242550499999197,l,0.0014312000130303204,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
60,84,85,15,15,0,l,0.04532689999905415,None,0,15,15,24,21.259025699982885,,21.245711499999743,21.259025699982885,22.24202969999169,22.24202969999169,22.258982500003185,22.292884700000286,l,0.04532689999905415,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
68,92,105,16,16,0,t,0.11785539999254979,None,0,16,16,28,22.30850799998734,,22.297351999994135,22.30850799998734,23.30837650000467,23.30837650000467,23.30837650000467,23.442658599989954,t,0.11785539999254979,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
10,20,3,17,17,0,t,0.17849600000772625,None,0,17,17,45,23.45872180000879,,23.445427600003313,23.45872180000879,24.44158419998712,24.44158419998712,24.45844399998896,24.62535869999556,t,0.17849600000772625,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
