thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,0,0,[np.float64(-0.30694444444444446)],[np.float64(-0.4486111111111111)],[1],[0],[0],[1.9246243000015966],['Target'],0,0,0,0,0.0664966,,10,0.0481932,0.0664966,0.0664966,0.0482194,1.9730695,[np.float64(-0.30694444444444446)],[np.float64(-0.4486111111111111)],[1],[0],[0],[1.9246243000015966],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
1,0,1,[np.float64(0.29583333333333334)],[np.float64(-0.29444444444444445)],[1],[0],[0],[1.2739332000055583],['Target'],1,0,1,0,2.0169864,,5,1.9948016,2.0169864,2.0169864,0.0215169,3.2689981,[np.float64(0.29583333333333334)],[np.float64(-0.29444444444444445)],[1],[0],[0],[1.2739332000055583],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
2,0,2,[np.float64(0.17916666666666667)],[np.float64(-0.0375)],[1],[0],[0],[1.2885023999988334],['Target'],2,0,2,0,3.299216,,5,3.2820108,3.299216,3.299216,0.0128211,4.5707289,[np.float64(0.17916666666666667)],[np.float64(-0.0375)],[1],[0],[0],[1.2885023999988334],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
3,0,3,[np.float64(-0.30972222222222223)],[np.float64(0.42083333333333334)],[1],[0],[0],[1.2714297999991686],['Target'],3,0,3,0,4.6330211,,10,4.6127794,4.6330211,4.6330211,0.0418958,5.8844831,[np.float64(-0.30972222222222223)],[np.float64(0.42083333333333334)],[1],[0],[0],[1.2714297999991686],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
4,0,4,[np.float64(0.2986111111111111)],[np.float64(-0.04722222222222222)],[1],[0],[0],[2.0000329999966198],['Target'],4,0,4,0,5.9152691,,10,5.9016351,5.9152691,5.9152691,0.0169688,7.9018283,[np.float64(0.2986111111111111)],[np.float64(-0.04722222222222222)],[1],[0],[0],[2.0000329999966198],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
5,0,5,[np.float64(-0.3611111111111111)],[np.float64(0.4625)],[1],[0],[0],[1.6244477000000188],['Target'],5,0,5,0,7.949174,,10,7.9262108,7.949174,7.949174,0.0242291,9.550798,[np.float64(-0.3611111111111111)],[np.float64(0.4625)],[1],[0],[0],[1.6244477000000188],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
6,0,6,[np.float64(0.2361111111111111)],[np.float64(-0.18055555555555555)],[1],[0],[0],[1.4239606999981334],['Target'],6,0,6,0,9.631489,,5,9.5601423,9.631489,9.631489,0.0092424,10.9842843,[np.float64(0.2361111111111111)],[np.float64(-0.18055555555555555)],[1],[0],[0],[1.4239606999981334],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
7,0,7,[np.float64(-0.09305555555555556)],[np.float64(-0.4652777777777778)],[1],[0],[0],[1.8078722999998718],['Target'],7,0,7,0,11.015049,,5,10.992751,11.015049,11.015049,0.0082707,12.8007971,[np.float64(-0.09305555555555556)],[np.float64(-0.4652777777777778)],[1],[0],[0],[1.8078722999998718],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
8,0,8,[np.float64(-0.30416666666666664)],[np.float64(0.020833333333333332)],[1],[0],[0],[1.2487935000026482],['Target'],8,0,8,0,12.8313879,,10,12.817951,12.8313879,12.8313879,0.0169541,14.0669061,[np.float64(-0.30416666666666664)],[np.float64(0.020833333333333332)],[1],[0],[0],[1.2487935000026482],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
9,0,9,[np.float64(-0.24027777777777778)],[np.float64(-0.42777777777777776)],[1],[0],[0],[1.7898215999957756],['Target'],9,0,9,0,14.115528,,10,14.09298,14.115528,14.115528,0.0259276,15.8829751,[np.float64(-0.24027777777777778)],[np.float64(-0.42777777777777776)],[1],[0],[0],[1.7898215999957756],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
