thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.3013888888888889)],[np.float64(-0.24305555555555555)],[1],[0],[0],[1.7153152000028058],['Target'],0,0,0,0,0.08199030000105267,,10,0.05977279999933671,0.08199030000105267,0.08199030000105267,0.05981389999942621,1.7752949999994598,[np.float64(0.3013888888888889)],[np.float64(-0.24305555555555555)],[1],[0],[0],[1.7153152000028058],['Target'],TWO,001,2025-10-03_08h34.50.824,Visual Search Experiment,,2025.1.1,60.06893510949264,2025-10-03 08h35.06.598694 +0530,
1,0,1,[np.float64(-0.4222222222222222)],[np.float64(-0.1875)],[1],[0],[0],[1.550076400002581],['Target'],1,0,1,0,1.7979121999997005,,5,1.7844371999999566,1.7979121999997005,1.7979121999997005,0.009026499999890802,3.3346898999989207,[np.float64(-0.4222222222222222)],[np.float64(-0.1875)],[1],[0],[0],[1.550076400002581],['Target'],TWO,001,2025-10-03_08h34.50.824,Visual Search Experiment,,2025.1.1,60.06893510949264,2025-10-03 08h35.06.598694 +0530,
2,0,2,[np.float64(-0.25)],[np.float64(-0.17916666666666667)],[1],[0],[0],[1.456476000003022],['Target'],2,0,2,0,3.3642902999999933,,5,3.3436130000009143,3.3642902999999933,3.3642902999999933,0.00879250000070897,4.800285699999222,[np.float64(-0.25)],[np.float64(-0.17916666666666667)],[1],[0],[0],[1.456476000003022],['Target'],TWO,001,2025-10-03_08h34.50.824,Visual Search Experiment,,2025.1.1,60.06893510949264,2025-10-03 08h35.06.598694 +0530,
3,0,3,[np.float64(0.1736111111111111)],[np.float64(0.41944444444444445)],[1],[0],[0],[1.264727400000993],['Target'],3,0,3,0,4.847584999999526,,10,4.834811600001558,4.847584999999526,4.847584999999526,0.03438520000054268,6.099695799999608,[np.float64(0.1736111111111111)],[np.float64(0.41944444444444445)],[1],[0],[0],[1.264727400000993],['Target'],TWO,001,2025-10-03_08h34.50.824,Visual Search Experiment,,2025.1.1,60.06893510949264,2025-10-03 08h35.06.598694 +0530,
4,0,4,[np.float64(-0.3958333333333333)],[np.float64(-0.26944444444444443)],[1],[0],[0],[1.3554890000013984],['Target'],4,0,4,0,6.130307800001901,,5,6.110118900000089,6.130307800001901,6.130307800001901,0.010329799999453826,7.465743900000234,[np.float64(-0.3958333333333333)],[np.float64(-0.26944444444444443)],[1],[0],[0],[1.3554890000013984],['Target'],TWO,001,2025-10-03_08h34.50.824,Visual Search Experiment,,2025.1.1,60.06893510949264,2025-10-03 08h35.06.598694 +0530,
5,0,5,[np.float64(0.48194444444444445)],[np.float64(-0.14444444444444443)],[1],[0],[0],[1.3082098000013502],['Target'],5,0,5,0,7.496592100000271,,5,7.474096800000552,7.496592100000271,7.496592100000271,0.00826969999980065,8.782444799999212,[np.float64(0.48194444444444445)],[np.float64(-0.14444444444444443)],[1],[0],[0],[1.3082098000013502],['Target'],TWO,001,2025-10-03_08h34.50.824,Visual Search Experiment,,2025.1.1,60.06893510949264,2025-10-03 08h35.06.598694 +0530,
6,0,6,[np.float64(0.35138888888888886)],[np.float64(-0.3680555555555556)],[1],[0],[0],[2.5966493000014452],['Target'],6,0,6,0,8.812724499999604,,10,8.801949500000774,8.812724499999604,8.812724499999604,0.019420500000705943,11.398770499999955,[np.float64(0.35138888888888886)],[np.float64(-0.3680555555555556)],[1],[0],[0],[2.5966493000014452],['Target'],TWO,001,2025-10-03_08h34.50.824,Visual Search Experiment,,2025.1.1,60.06893510949264,2025-10-03 08h35.06.598694 +0530,
7,0,7,[np.float64(0.15416666666666667)],[np.float64(0.30833333333333335)],[1],[0],[0],[1.4937096000030579],['Target'],7,0,7,0,11.479817999999796,,5,11.471936400001141,11.479817999999796,11.479817999999796,0.07300969999778317,12.96577199999956,[np.float64(0.15416666666666667)],[np.float64(0.30833333333333335)],[1],[0],[0],[1.4937096000030579],['Target'],TWO,001,2025-10-03_08h34.50.824,Visual Search Experiment,,2025.1.1,60.06893510949264,2025-10-03 08h35.06.598694 +0530,
8,0,8,[np.float64(0.06944444444444445)],[np.float64(0.11666666666666667)],[1],[0],[0],[1.157277400001476],['Target'],8,0,8,0,12.995996199999354,,5,12.97460990000036,12.995996199999354,12.995996199999354,0.008756999999604886,14.132059700001264,[np.float64(0.06944444444444445)],[np.float64(0.11666666666666667)],[1],[0],[0],[1.157277400001476],['Target'],TWO,001,2025-10-03_08h34.50.824,Visual Search Experiment,,2025.1.1,60.06893510949264,2025-10-03 08h35.06.598694 +0530,
9,0,9,"[np.float64(0.1763888888888889), np.float64(0.20277777777777778)]","[np.float64(0.14305555555555555), np.float64(0.11805555555555555)]","[1, 1]","[0, 0]","[0, 0]","[1.0068432000007306, 1.8754895000020042]","[None, 'Target']",9,0,9,0,14.162864800000534,,5,14.141708499999368,14.162864800000534,14.162864800000534,0.009463300000788877,16.017363499999192,"[np.float64(0.1763888888888889), np.float64(0.20277777777777778)]","[np.float64(0.14305555555555555), np.float64(0.11805555555555555)]","[1, 1]","[0, 0]","[0, 0]","[1.0068432000007306, 1.8754895000020042]","[None, 'Target']",TWO,001,2025-10-03_08h34.50.824,Visual Search Experiment,,2025.1.1,60.06893510949264,2025-10-03 08h35.06.598694 +0530,
10,0,10,[np.float64(0.4222222222222222)],[np.float64(-0.3375)],[1],[0],[0],[1.4160209000001487],['Target'],10,0,10,0,16.04581429999962,,5,16.032575400000496,16.04581429999962,16.04581429999962,0.015082300000358373,17.448802899998554,[np.float64(0.4222222222222222)],[np.float64(-0.3375)],[1],[0],[0],[1.4160209000001487],['Target'],TWO,001,2025-10-03_08h34.50.824,Visual Search Experiment,,2025.1.1,60.06893510949264,2025-10-03 08h35.06.598694 +0530,
11,0,11,[np.float64(-0.41944444444444445)],[np.float64(0.48055555555555557)],[1],[0],[0],[1.789909600000101],['Target'],11,0,11,0,17.47918149999896,,5,17.458017400000244,17.47918149999896,17.47918149999896,0.00901499999963562,19.248069699999178,[np.float64(-0.41944444444444445)],[np.float64(0.48055555555555557)],[1],[0],[0],[1.789909600000101],['Target'],TWO,001,2025-10-03_08h34.50.824,Visual Search Experiment,,2025.1.1,60.06893510949264,2025-10-03 08h35.06.598694 +0530,
12,0,12,[np.float64(-0.3527777777777778)],[np.float64(0.2652777777777778)],[1],[0],[0],[1.296372100001463],['Target'],12,0,12,0,19.27869389999978,,10,19.268297400001757,19.27869389999978,19.27869389999978,0.020131099998252466,20.564811700001883,[np.float64(-0.3527777777777778)],[np.float64(0.2652777777777778)],[1],[0],[0],[1.296372100001463],['Target'],TWO,001,2025-10-03_08h34.50.824,Visual Search Experiment,,2025.1.1,60.06893510949264,2025-10-03 08h35.06.598694 +0530,
13,0,13,"[np.float64(-0.45694444444444443), np.float64(-0.4444444444444444)]","[np.float64(-0.020833333333333332), np.float64(-0.0125)]","[1, 1]","[0, 0]","[0, 0]","[1.798335000003135, 2.7807166000020516]","[None, 'Target']",13,0,13,0,20.59532069999841,,10,20.582987000001594,20.59532069999841,20.59532069999841,0.018070099999022204,23.363833200000954,"[np.float64(-0.45694444444444443), np.float64(-0.4444444444444444)]","[np.float64(-0.020833333333333332), np.float64(-0.0125)]","[1, 1]","[0, 0]","[0, 0]","[1.798335000003135, 2.7807166000020516]","[None, 'Target']",TWO,001,2025-10-03_08h34.50.824,Visual Search Experiment,,2025.1.1,60.06893510949264,2025-10-03 08h35.06.598694 +0530,
14,0,14,[np.float64(-0.43333333333333335)],[np.float64(-0.011111111111111112)],[1],[0],[0],[1.312704500000109],['Target'],14,0,14,0,23.39503799999875,,5,23.372848599999998,23.39503799999875,23.39503799999875,0.008876700001565041,24.685752699999284,[np.float64(-0.43333333333333335)],[np.float64(-0.011111111111111112)],[1],[0],[0],[1.312704500000109],['Target'],TWO,001,2025-10-03_08h34.50.824,Visual Search Experiment,,2025.1.1,60.06893510949264,2025-10-03 08h35.06.598694 +0530,
15,0,15,[np.float64(0.05)],[np.float64(-0.04861111111111111)],[1],[0],[0],[1.3607965999981388],['Target'],15,0,15,0,24.711767199998576,,5,24.703530800001317,24.711767199998576,24.711767199998576,0.01760690000082832,26.064482099998713,[np.float64(0.05)],[np.float64(-0.04861111111111111)],[1],[0],[0],[1.3607965999981388],['Target'],TWO,001,2025-10-03_08h34.50.824,Visual Search Experiment,,2025.1.1,60.06893510949264,2025-10-03 08h35.06.598694 +0530,
